04/10/14 09:01 AM
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	
Total:            	    13452	  106446	                   656891	                          742952	
Pendientes:       	     6055	   39748	                   293910	                          322718	
Únicos:           	     7872	   81836	                   480334	                          551705	
Pendientes únicos:	     3519	   28289	                   199330	                          222754	


Estadísticas por archivo individual:

Nombre de archivo                                                                                          	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
plone_3_theming/elements/visibleelements/plone.contentviews.rst                                            	             49	                  31	               8	                          6	              232	                174	             37	                        25	                              1793	                                1388	                             283	                                        210	                                     1924	                                       1483	                                    306	                                               223	
plone_3_theming/elements/visibleelements/plone.footer.rst                                                  	             50	                  30	               8	                          5	              225	                157	             29	                        14	                              1735	                                1241	                             221	                                        118	                                     1857	                                       1323	                                    235	                                               122	
plone_3_theming/elements/visibleelements/plone.global_sections.rst                                         	             65	                  44	              19	                         17	              326	                257	            108	                        90	                              2597	                                2097	                             907	                                        815	                                     2794	                                       2251	                                    978	                                               872	
plone_3_theming/elements/visibleelements/plone.lockinfo.rst                                                	             56	                  35	              18	                         15	              262	                190	             78	                        56	                              2089	                                1539	                             740	                                        574	                                     2242	                                       1647	                                    781	                                               598	
plone_3_theming/elements/visibleelements/plone.logo.rst                                                    	             69	                  39	              21	                         12	              358	                253	            132	                        86	                              2660	                                1898	                             887	                                        616	                                     2902	                                       2067	                                    997	                                               688	
plone_3_theming/elements/visibleelements/plone.nextprevious.rst                                            	             57	                  36	              12	                         10	              271	                205	             53	                        38	                              2184	                                1693	                             487	                                        404	                                     2341	                                       1808	                                    518	                                               422	
plone_3_theming/elements/visibleelements/plone.path_bar.rst                                                	             62	                  43	              17	                         16	              304	                250	             87	                        83	                              2370	                                1944	                             701	                                        674	                                     2542	                                       2084	                                    747	                                               717	
plone_3_theming/elements/visibleelements/plone.personal_bar.rst                                            	             62	                  41	              14	                         12	              316	                240	             84	                        59	                              2466	                                1950	                             699	                                        588	                                     2653	                                       2085	                                    745	                                               611	
plone_3_theming/elements/visibleelements/plone.presentation.rst                                            	             62	                  39	              20	                         17	              296	                226	            100	                        83	                              2285	                                1688	                             838	                                        703	                                     2470	                                       1831	                                    905	                                               756	
plone_3_theming/elements/visibleelements/plone.searchbox.rst                                               	             61	                  39	              15	                         12	              290	                219	             72	                        52	                              2335	                                1812	                             645	                                        530	                                     2502	                                       1935	                                    686	                                               556	
